v = 11
16 18 4
16 19 8
16 20 8
16 21 4
16 22 4
16 23 5
16 24 7
16 25 8
16 26 8
16 27 5
16 28 8
16 29 4
16 30 7
16 31 6
16 32 4
16 33 7
16 34 9
16 35 3
16 36 7
16 37 4
16 38 8
16 39 2
16 40 6
17 18 4
17 19 8
17 20 5
17 21 4
17 22 4
17 23 4
17 24 6
17 25 6
17 26 8
17 27 8
17 28 7
17 29 7
17 30 4
17 31 6
17 32 4
17 33 5
17 34 7
17 35 6
17 36 7
17 37 4
17 38 8
17 39 2
17 40 2
18 19 6
18 20 6
18 21 4
18 22 4
18 23 7
18 24 8
18 25 9
18 26 6
18 27 8
18 28 4
18 29 7
18 30 6
18 31 2
18 32 4
18 33 7
18 34 5
18 35 6
18 36 4
18 37 4
18 38 4
18 39 2
18 40 6
19 20 9
19 21 7
19 22 6
19 23 6
19 24 9
19 25 9
19 26 7
19 27 3
19 28 8
19 29 9
19 30 9
19 31 8
19 32 7
19 33 4
19 34 6
19 35 5
19 36 6
19 37 9
19 38 2
19 39 8
19 40 9
20 21 6
20 22 4
20 23 5
20 24 5
20 25 7
20 26 8
20 27 9
20 28 2
20 29 7
20 30 6
20 31 8
20 32 6
20 33 6
20 34 4
20 35 7
20 36 10
20 37 8
20 38 8
20 39 6
20 40 7
21 22 2
21 23 3
21 24 6
21 25 8
21 26 6
21 27 4
21 28 8
21 29 6
21 30 6
21 31 6
21 32 4
21 33 6
21 34 8
21 35 2
21 36 7
21 37 4
21 38 6
21 39 2
21 40 6
22 23 5
22 24 8
22 25 9
22 26 4
22 27 6
22 28 6
22 29 7
22 30 4
22 31 6
22 32 4
22 33 7
22 34 8
22 35 4
22 36 7
22 37 4
22 38 4
22 39 2
22 40 6
23 24 6
23 25 5
23 26 4
23 27 4
23 28 7
23 29 3
23 30 6
23 31 8
23 32 6
23 33 3
23 34 5
23 35 2
23 36 5
23 37 6
23 38 6
23 39 5
23 40 6
24 25 9
24 26 9
24 27 6
24 28 7
24 29 9
24 30 4
24 31 8
24 32 5
24 33 8
24 34 8
24 35 4
24 36 8
24 37 8
24 38 8
24 39 7
24 40 4
25 26 7
25 27 9
25 28 7
25 29 8
25 30 9
25 31 11
25 32 9
25 33 8
25 34 10
25 35 7
25 36 10
25 37 6
25 38 7
25 39 7
25 40 7
26 27 8
26 28 8
26 29 7
26 30 8
26 31 4
26 32 8
26 33 6
26 34 8
26 35 6
26 36 8
26 37 8
26 38 5
26 39 6
26 40 8
27 28 9
27 29 7
27 30 6
27 31 8
27 32 8
27 33 7
27 34 9
27 35 2
27 36 9
27 37 6
27 38 5
27 39 6
27 40 6
28 29 5
28 30 4
28 31 6
28 32 8
28 33 6
28 34 6
28 35 7
28 36 8
28 37 8
28 38 7
28 39 6
28 40 6
29 30 9
29 31 5
29 32 8
29 33 6
29 34 8
29 35 5
29 36 8
29 37 8
29 38 9
29 39 6
29 40 9
30 31 4
30 32 5
30 33 8
30 34 7
30 35 4
30 36 8
30 37 7
30 38 8
30 39 5
30 40 2
31 32 6
31 33 5
31 34 7
31 35 6
31 36 6
31 37 6
31 38 6
31 39 4
31 40 6
32 33 3
32 34 5
32 35 6
32 36 6
32 37 4
32 38 6
32 39 2
32 40 5
33 34 2
33 35 5
33 36 8
33 37 7
33 38 5
33 39 5
33 40 7
34 35 7
34 36 9
34 37 9
34 38 7
34 39 7
34 40 9
35 36 7
35 37 4
35 38 7
35 39 4
35 40 6
36 37 7
36 38 4
36 39 5
36 40 8
37 38 8
37 39 2
37 40 6
38 39 6
38 40 8
39 40 4
